"","lme_name","lme_number","lme_area","ks_test_pvalue","dip_test","dip_p_value","skew","mean_depth","max_depth","median_depth","center_latitude","region","skew_descriptor","hourglass","deep_dominant","shallow_dominant","mid_dominant","uniform","type","lme_name2"
"1","East Bering Sea",1,576575.926587342,0,0.0131670526682107,0,1.52536007537553,81.6458405833623,666,65,56.88070468,"pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","East Bering Sea"
"2","Gulf of Alaska",2,382895.174032638,0,0.0254383394749693,0,0.802997506407317,127.899450502747,637,113,54.07110345,"pacific","mod_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Gulf of Alaska"
"3","California Current",3,107840.050253423,0,0.00551393959930777,0,1.53959586287251,96.2892785785572,690,85,33.25190697,"pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","California Current"
"4","Gulf of California",4,67641.9564191509,0,0.00854678632456411,0,1.57189373625235,80.8026308026306,483,70,26.12712119,"pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Gulf of California"
"5","Gulf of Mexico",5,557029.127056005,0,0.00986041176470588,0,1.92190420773184,55.3514159999999,657,40,24.97637041,"atlantic","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Gulf of Mexico"
"6","Southeast U.S. Continental Shelf",6,119059.479813492,0,0.0150970603882416,0,2.80617960628305,34.4005876023505,451,27,30.44502845,"atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Southeast U.S. Continental Shelf"
"7","Northeast U.S. Continental Shelf",7,291357.039536317,0,0.00859207939990455,0,1.00511694798119,88.2341445951319,486,66,40.96301038,"atlantic","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Northeast U.S. Continental Shelf"
"8","Scotian Shelf",8,261767.484958412,0,0.0260554766841568,0,1.4341322633197,138.698119584957,892,99,45.5385689,"atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Scotian Shelf"
"9","Labrador - Newfoundland",9,778724.50437479,0,0.0104331280801869,0,0.731472935157567,183.043279043279,793,166,50.13898077,"atlantic","mod_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Labrador - Newfoundland"
"10","Insular Pacific-Hawaiian",10,13820.1885519916,0,0.00752568215151454,0,1.87291612289253,130.577185731557,835,98,23.84330553,"pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Insular Pacific-Hawaiian"
"11","Pacific Central-American Coastal",11,199699.91084619,0,0.00655494588462119,0,2.35049099848282,84.4395470768291,1083,66,11.52432941,"pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Pacific Central-American Coastal"
"12","Caribbean Sea",12,451896.759548715,0,0.0576565774947601,0,2.54868285661651,51.4927051167183,1135,12,16.34745651,"atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Caribbean Sea"
"13","Humboldt Current",13,271605.627900873,0,0.0065964076502929,0,1.51699886152347,105.95039569446,917,90,-31.96456582,"pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Humboldt Current"
"14","Patagonian Shelf",14,1015984.62208428,0,0.0183397148659878,0,0.922841320775963,95.7781456589412,608,95,-46.27090928,"atlantic","mod_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Patagonian Shelf"
"15","South Brazil Shelf",15,279681.470808849,0,0.0121666998045314,0,0.936675360772187,86.4296571406861,560,78,-27.51312669,"atlantic","mod_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","South Brazil Shelf"
"16","East Brazil Shelf",16,163403.211235187,0,0.0147915147915148,0,5.11744809248103,60.1691841691841,1923,28,-10.14735624,"atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","East Brazil Shelf"
"17","North Brazil Shelf",17,448095.697322527,0,0.0192542023214395,0,3.55315059215818,46.7414556047454,951,38,4.82610305,"atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","North Brazil Shelf"
"18","Canadian Eastern Arctic - West Greenland",18,718323.093243628,0,0.00842888084481531,0,0.817617386783373,242.940960472316,1126,204,70.36738516,"atlantic","mod_skew",FALSE,FALSE,FALSE,TRUE,FALSE,"Mid Dominant","Canadian Eastern Arctic - West Greenland"
"19","Greenland Sea",19,476996.497049329,0,0.0135577557235602,0,0.525511933501925,257.505936023745,1353,259,73.74178876,"atlantic","mod_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Greenland Sea"
"20","Barents Sea",20,1756866.86287677,0,0.0107308573085731,0,0.120577089034059,196.206320063201,955,198,76.28767759,"atlantic","symmetric",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Barents Sea"
"21","Norwegian Sea",21,152017.610080093,0,0.0257979737498573,0,-0.405080153034643,255.276444617777,532,266,68.45895065,"atlantic","symmetric",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Norwegian Sea"
"22","North Sea",22,637801.352051051,0,0.0112063786351855,0,2.21636521411929,91.6831231481084,686,64,57.37568133,"atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","North Sea"
"23","Baltic Sea",23,370055.72656844,0,0.00775962377995218,0,1.11900487778477,55.3322090033733,410,46,58.96931499,"atlantic","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Baltic Sea"
"24","Celtic-Biscay Shelf",24,551855.929841601,0,0.00657923655186895,0,2.69734169062523,109.071592214777,852,98,51.43180746,"atlantic","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Celtic-Biscay Shelf"
"25","Iberian Coastal",25,52738.0628418152,0,0.0086551559654679,0,2.98739061097152,93.2730798192393,1008,81,41.079155,"atlantic","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Iberian Coastal"
"26","Mediterranean Sea",26,493665.106455597,0,0.010027317154668,0,1.23313623486493,88.2774854450292,730,74,37.0543189,"atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Mediterranean Sea"
"27","Canary Current",27,184567.105262068,0,0.0223709105954797,0,2.24977235170239,80.9802439604877,915,51,24.6478459,"atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Canary Current"
"28","Guinea Current",28,268115.516228128,0,0.022266845982144,0,4.33575538498861,53.9056300182306,1027,41,3.40906303,"atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Guinea Current"
"29","Benguela Current",29,293667.204883655,0,0.0029203,0,0.514697673234989,181.36658,554,168,-21.25126978,"atlantic","mod_skew",FALSE,FALSE,FALSE,TRUE,FALSE,"Mid Dominant","Benguela Current"
"30","Agulhas Current",30,291259.121505133,0,0.0195557757749149,0,5.74333340957277,76.3768961003507,1783,59,-22.65111385,"indian","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Agulhas Current"
"31","Somali Coastal Current",31,48196.3545229209,0,0.0122690245380491,0,2.08529784213169,64.2549745099492,563,53,-1.40836449,"indian","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Somali Coastal Current"
"32","Arabian Sea",32,649527.382580806,0,0.00809562523383672,0,4.3272807700909,61.1037258590157,1766,50,16.26403942,"indian","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Arabian Sea"
"33","Red Sea",33,160234.82001462,0,0.0106904251670238,0,2.72740143928391,57.46281576029,704,36,20.56524357,"indian","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Red Sea"
"34","Bay of Bengal",34,608190.642105191,0,0.0119498755616776,0,3.28244076643882,55.3317406395909,800,43,10.85792554,"indian","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Bay of Bengal"
"35","Gulf of Thailand",35,379096.934955138,0,0.0573695018045381,0,-0.350084006114397,36.4777395667813,70,44,8.71225786,"pacific","symmetric",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Gulf of Thailand"
