,lme_name,lme_number,lme_area,ks_test_pvalue,dip_test,dip_p_value,skew,mean_depth,max_depth,median_depth,center_latitude,region,skew_descriptor,hourglass,deep_dominant,shallow_dominant,mid_dominant,uniform,type,lme_name2
30,Agulhas Current,30,291259.1215,0,0.019555776,0,5.74333341,76.3768961,1783,59,-22.65111385,Indian,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Agulhas Current
63,Aleutian Islands,65,36787.52423,0,0.006420539,0,0.86393614,149.0654519,872,121,51.93742587,Pacific,mod_skew,FALSE,FALSE,FALSE,TRUE,FALSE,Mid Dominant,Aleutian Islands
32,Arabian Sea,32,649527.3826,0,0.008095625,0,4.32728077,61.10372586,1766,50,16.26403942,Indian,high_skew,FALSE,FALSE,TRUE,FALSE,FALSE,Shallow Dominant,Arabian Sea
23,Baltic Sea,23,370055.7266,0,0.007759624,0,1.119004878,55.332209,410,46,58.96931499,Atlantic,high_skew,FALSE,FALSE,TRUE,FALSE,FALSE,Shallow Dominant,Baltic Sea
20,Barents Sea,20,1756866.863,0,0.010730857,0,0.120577089,196.2063201,955,198,76.28767759,Atlantic,symmetric,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Barents Sea
34,Bay of Bengal,34,608190.6421,0,0.011949876,0,3.282440766,55.33174064,800,43,10.85792554,Indian,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Bay of Bengal
55,Beaufort Sea,55,574330.9033,0,0.0144553,0,0.736903091,168.2351901,797,112,72.54560731,Pacific,mod_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Beaufort Sea
29,Benguela Current,29,293667.2049,0,0.0029203,0,0.514697673,181.36658,554,168,-21.25126978,Atlantic,mod_skew,FALSE,FALSE,FALSE,TRUE,FALSE,Mid Dominant,Benguela Current
61,Black Sea,62,140184.5112,0,0.028983366,0,2.477478955,46.01546581,455,33,43.51120748,Atlantic,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Black Sea
3,California Current,3,107840.0503,0,0.00551394,0,1.539595863,96.28927858,690,85,33.25190697,Pacific,high_skew,FALSE,FALSE,TRUE,FALSE,FALSE,Shallow Dominant,California Current
18,Canadian Eastern Arctic - West Greenland,18,718323.0932,0,0.008428881,0,0.817617387,242.9409605,1126,204,70.36738516,Atlantic,mod_skew,FALSE,FALSE,FALSE,TRUE,FALSE,Mid Dominant,Canadian Eastern Arctic - West Greenland
64,Canadian High Arctic - North Greenland,66,469751.1886,0,0.005357335,0,0.485741518,268.8924628,958,253,80.69860747,Atlantic,symmetric,FALSE,FALSE,FALSE,TRUE,FALSE,Mid Dominant,Canadian High Arctic - North Greenland
27,Canary Current,27,184567.1053,0,0.022370911,0,2.249772352,80.98024396,915,51,24.6478459,Atlantic,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Canary Current
12,Caribbean Sea,12,451896.7595,0,0.057656577,0,2.548682857,51.49270512,1135,12,16.34745651,Atlantic,high_skew,TRUE,FALSE,FALSE,FALSE,FALSE,Multimodal,Caribbean Sea
