"","lme_name","lme_number","lme_area","ks_test_pvalue","dip_test","dip_p_value","skew","mean_depth","max_depth","median_depth","center_latitude","region","skew_descriptor","hourglass","deep_dominant","shallow_dominant","mid_dominant","uniform","type","lme_name2"
"1","East Bering Sea",1,583961.389266414,0,0.0135934101647459,0,1.89084402146008,77.7693387665308,818,70,56.88070468,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","East Bering Sea"
"2","Gulf of Alaska",2,401286.424304202,0,0.0183052719968124,0,1.31832878978713,120.883021041453,1247,110,54.07110345,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Gulf of Alaska"
"3","California Current",3,111242.990411241,0,0.00700979205875235,0,2.61401743256443,96.6509009054053,1647,88,33.25190697,"Pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","California Current"
"4","Gulf of California",4,70434.6514712895,0,0.00977623813266614,0,1.81300489284866,69.9543556390207,1071,46,26.12712119,"Pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Gulf of California"
"5","Gulf of Mexico",5,568111.749662325,0,0.0142427122599202,0,1.78142179762991,52.574555701777,447,38,24.97637041,"Atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Gulf of Mexico"
"6","Southeast U.S. Continental Shelf",6,125474.962033477,0,0.0253186772307406,0,3.30716696244759,31.9965439758077,590,25,30.44502845,"Atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Southeast U.S. Continental Shelf"
"7","Northeast U.S. Continental Shelf",7,297039.967470913,0,0.0103917921641567,0,0.994565726977009,86.4920501589968,655,65,40.96301038,"Atlantic","mod_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Northeast U.S. Continental Shelf"
"8","Scotian Shelf",8,266237.614123553,0,0.021599630189008,0,1.50919034425201,136.005189036323,1393,94,45.5385689,"Atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Scotian Shelf"
"9","Labrador - Newfoundland",9,792821.419185525,0,0.00952211092603074,0,0.7334948853536,178.037744811276,1084,161,50.13898077,"Atlantic","mod_skew",FALSE,FALSE,TRUE,TRUE,FALSE,"Shallow Dominant","Labrador - Newfoundland"
"10","Insular Pacific-Hawaiian",10,16668.04586333,0,0.00934013864625073,0,4.3373320818447,87.8211315366053,1889,44,23.84330553,"Pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Insular Pacific-Hawaiian"
"11","Pacific Central-American Coastal",11,208522.771260922,0,0.00837165068971242,0,2.40620008955687,87.0187773379926,1337,64,11.52432941,"Pacific","high_skew",FALSE,FALSE,TRUE,FALSE,FALSE,"Shallow Dominant","Pacific Central-American Coastal"
"12","Caribbean Sea",12,494377.188654185,0,0.0704977754755302,0,5.0445062199388,34.9931759249353,1832,8,16.34745651,"Atlantic","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Caribbean Sea"
"13","Humboldt Current",13,290286.113646815,0,0.0129595190651054,0,1.6913972333546,97.1444823993167,1227,89,-31.96456582,"Pacific","high_skew",TRUE,FALSE,FALSE,FALSE,FALSE,"Multimodal","Humboldt Current"
